ground truth image processing HAWK
Thu 18 Oct 15:18:45 BST 2018
1 BM000075813.JPG 1500 2372 150 72 0
2 BM000500117.JPG 1500 1953 150 0 311
3 BM000501121.JPG 1500 1839 150 0 425
4 BM000517025.JPG 1500 2347 150 55 0
5 BM000521570.JPG 1500 2398 150 89 0
6 BM000521755.JPG 1500 2354 150 60 0
7 BM000521866.JPG 1500 2353 150 59 0
8 BM000521903.JPG 1500 2305 150 27 0
9 BM000522091.JPG 1500 2318 150 36 0
10 BM000546829.JPG 1500 2297 150 22 0
11 BM000547082.JPG 1500 2297 150 22 0
12 BM000551636.JPG 1500 2295 150 21 0
13 BM000561307.JPG 1500 1680 150 0 584
14 BM000562804.JPG 2499 3956 250 122 0
15 BM000574146.JPG 1500 2196 150 0 68
16 BM000583717.JPG 1500 2115 150 0 149
17 BM000625315.JPG 1500 1996 150 0 268
18 BM000625345.JPG 1500 1996 150 0 268
19 BM000625363.JPG 1500 1996 150 0 268
20 BM000648870.JPG 2500 3863 250 59 0
21 BM000796649.JPG 1500 1838 150 0 426
22 BM000798777.JPG 1500 2115 150 0 149
23 BM000799936.JPG 1064 1500 96 0 106
24 BR0000005158874.JPG 6167 10076 600 510 0
25 BR0000005505173.JPG 6252 9298 600 0 137
26 BR0000005619498.JPG 6027 9792 600 462 0
27 BR0000005619801.JPG 6207 9929 600 372 0
28 BR0000005639113.JPG 6300 10119 600 405 0
29 BR0000005701353.JPG 6328 10379 600 550 0
30 BR0000005785315.JPG 6005 9946 600 586 0
31 BR0000005859337.JPG 5990 9391 600 233 0
32 BR0000005859351.JPG 6191 9901 600 370 0
33 BR0000005859665.JPG 5990 9391 600 233 0
34 BR0000005906826.JPG 6248 10044 600 408 0
35 BR0000005907694.JPG 5891 8746 600 0 144
36 BR0000006250690.JPG 7309 10309 600 0 721
37 BR0000006490454.JPG 6944 10064 600 0 415
38 BR0000006918378.JPG 5982 9899 600 578 0
39 BR0000008245434.JPG 6042 9418 600 199 0
40 BR0000008697363.JPG 6027 10109 600 672 0
41 BR0000008719041.JPG 6959 10079 600 0 423
42 BR0000008864185.JPG 6828 9828 600 0 476
43 BR0000008967527.JPG 6898 9758 600 0 652
44 BR0000009199590.JPG 6800 9862 600 0 400
45 BR0000012450015.JPG 6500 10210 600 266 0
46 BR0000013091514.JPG 6031 10041 600 623 0
47 BR0000013091521.JPG 6031 10041 600 623 0
48 B_10_0002520.JPG 2794 4478 250 173 0
49 B_10_0002521.JPG 2794 4471 250 168 0
50 B_10_0002884.JPG 6880 10948 600 375 0
51 B_10_0003200.JPG 3212 4984 300 91 0
52 B_10_0003450.JPG 6880 11030 600 429 0
53 B_10_0003463.JPG 6880 10931 600 363 0
54 B_10_0003483.JPG 6880 10871 600 324 0
55 B_10_0003484.JPG 6880 10908 600 348 0
56 B_10_0003487.JPG 6880 10950 600 376 0
57 B_10_0005500.JPG 6880 10871 600 324 0
58 B_10_0030420.JPG 6880 9571 600 0 812
59 B_10_0046042.JPG 2809 4471 250 153 0
60 B_10_0049579.JPG 6880 10908 600 348 0
61 B_10_0066610.JPG 2822 4506 250 163 0
62 B_10_0069251.JPG 2822 4514 250 169 0
63 B_10_0086706.JPG 2801 4458 250 153 0
64 B_10_0088191.JPG 6880 10852 600 311 0
65 B_10_0089444.JPG 2836 4493 250 141 0
66 B_10_0089598.JPG 2808 4500 250 173 0
67 B_10_0089768.JPG 2836 4486 250 136 0
68 B_10_0114359.JPG 2867 4371 250 29 0
69 B_10_0127220.JPG 2829 4514 250 162 0
70 B_10_0157339.JPG 2816 4499 250 165 0
71 B_10_0172760.JPG 2851 4513 250 139 0
72 E00001162.JPG 8476 9944 600 0 2847
73 E00015443.JPG 5662 8008 600 0 537
74 E00015458.JPG 5544 8050 600 0 316
75 E00016304.JPG 6102 10019 600 537 0
76 E00020889.JPG 5634 8182 600 0 320
77 E00024129.JPG 6222 6083 600 0 3307
78 E00024667.JPG 6117 9854 600 413 0
79 E00024823.JPG 6267 9854 600 263 0
80 E00026748.JPG 5682 7978 600 0 597
81 E00026850.JPG 7077 9877 600 0 803
82 E00049052.JPG 6237 9899 600 323 0
83 E00058993.JPG 6177 9839 600 343 0
84 E00059670.JPG 5666 8098 600 0 453
85 E00062538.JPG 6170 10064 600 499 0
86 E00062569.JPG 6778 9974 600 0 255
87 E00064130.JPG 5650 7946 600 0 580
88 E00064237.JPG 5758 8085 600 0 604
89 E00064383.JPG 5782 8130 600 0 596
90 E00065413.JPG 5708 8038 600 0 576
91 E00065427.JPG 5750 8108 600 0 569
92 E00065926.JPG 5640 7894 600 0 617
93 E00067488.JPG 6839 9989 600 0 332
94 E00071177.JPG 6131 10064 600 538 0
95 E00072327.JPG 5556 8030 600 0 355
96 E00073048.JPG 5738 8046 600 0 613
97 E00074392.JPG 5546 8062 600 0 307
98 E00074915.JPG 5478 7416 600 0 851
99 E00087190.JPG 5634 8222 600 0 280
100 E00088095.JPG 5726 7978 600 0 663
101 E00094197.JPG 5604 8266 600 0 191
102 E00105239.JPG 5636 8254 600 0 251
103 E00112411.JPG 5656 8118 600 0 417
104 E00113189.JPG 5662 7998 600 0 547
105 E00117381.JPG 5536 8072 600 0 282
106 E00117382.JPG 5556 7988 600 0 397
107 E00120460.JPG 5624 8212 600 0 275
108 E00127288.JPG 5572 8254 600 0 155
109 E00128162.JPG 6222 9929 600 357 0
110 E00134418.JPG 5598 8092 600 0 356
111 E00134537.JPG 5750 8088 600 0 589
112 E00137807.JPG 5630 7946 600 0 550
113 E00141058.JPG 5740 8080 600 0 582
114 E00144488.JPG 5708 8090 600 0 524
115 EIG.1060.JPG 6009 7863 600 0 1205
116 EIG.1068.JPG 6008 7899 600 0 1168
117 EIG.1074.JPG 6007 7870 600 0 1195
